Sat_Name,Country,Country_of_Operator,Owner,Users,Purpose,Class_Of _Orbit,Type_Of_Orbit,Perigee_in_km,Apogee_in_km,Date_Of_Launch,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,SatID,Comments
OneWeb-0621                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004Y,55162,No Comments
OneWeb-0622                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004Z,55163,No Comments
OneWeb-0623                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004AA,55164,No Comments
OneWeb-0624                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004AB,55165,No Comments
OneWeb-0625                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004AC,55166,No Comments
OneWeb-0626                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004AD,55167,No Comments
OneWeb-0627                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004AE,55168,No Comments
OneWeb-0628                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004AF,55169,No Comments
OneWeb-0630                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AC,56072,No Comments
OneWeb-0632                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AD,56073,No Comments
OneWeb-0633                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AE,56074,No Comments
OneWeb-0634                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AF,56075,No Comments
OneWeb-0635                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AG,56076,No Comments
OneWeb-0636                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AH,56077,No Comments
OneWeb-0637                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AJ,56078,No Comments
